cell_id,threshold_left,threshold_right,left_closed,right_closed,case_id,group,family,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper
cell-0008,12961438298225403/50000000000000000,5200362205505371/20000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0008,12961438298225403/50000000000000000,5200362205505371/20000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,17/32,17/32,17/32,17/32
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-23/16,43/16,-45/32,21/8
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,15/32,19/32,15/32,19/32
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-23/32,3/2,-15/32,35/32
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0009,5200362205505371/20000000000000000,13021649420261383/50000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,33/64,33/64,33/64,33/64
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-93/64,171/64,-91/64,167/64
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,29/64,37/64,29/64,37/64
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-47/64,95/64,-31/64,69/64
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0010,13021649420261383/50000000000000000,1305423527956009/5000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,1/2,1/2,1/2,1/2
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-47/32,85/32,-45/32,83/32
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,7/16,9/16,7/16,9/16
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
